"Small Unit Installation Postcode","number_of_installations","total_output_kw","postcode","longitude","latitude","state"
"5734",8,180.305,"5734",134.7481913,-26.09784494,"SA"
"5950",5,315.03,"5950",138.530183,-34.945146,"SA"
"6000",558,5454.033,"6000",115.859912,-31.948762,"WA"
"6001",3,9.34,"6001",115.763228,-31.99212,"WA"
"6003",191,1688.849,"6003",115.869136,-31.939272,"WA"
"6004",211,2073.779,"6004",115.874601,-31.956931,"WA"
"6005",214,3870.379,"6005",115.836896,-31.95707,"WA"
"6006",1175,6242.65,"6006",115.852913,-31.92934,"WA"
"6007",862,5705.752,"6007",115.834335,-31.935675,"WA"
"6008",1719,10471.294,"6008",115.811432,-31.956599,"WA"
"6009",2196,13989.366,"6009",115.804692,-31.985791,"WA"
"6010",2587,14323.093,"6010",115.77639,-31.971647,"WA"
"6011",1135,7062.091,"6011",115.757646,-31.996371,"WA"
"6012",1127,6707.944,"6012",115.763404,-32.015976,"WA"
"6014",2896,17086.438,"6014",115.808169,-31.936389,"WA"
"6015",1123,6951.53,"6015",115.764683,-31.938454,"WA"
"6016",1230,6278.931,"6016",115.831181,-31.921222,"WA"
"6017",544,9250.466,"6017",115.814562,-31.908357,"WA"
"6018",6391,31590.181,"6018",115.786821,-31.891957,"WA"
"6019",2562,13058.36,"6019",115.769183,-31.90733,"WA"
"6020",4226,21141.841,"6020",115.765396,-31.852698,"WA"
"6021",3342,19882.452,"6021",115.811933,-31.871671,"WA"
"6022",1133,4751.802,"6022",115.80924,-31.851998,"WA"
"6023",3369,16095.66,"6023",115.774028,-31.834469,"WA"
"6024",3070,13121.334,"6024",115.803068,-31.83489,"WA"
"6025",6714,30767.188,"6025",115.754405,-31.79583,"WA"
"6026",5595,24784.912,"6026",115.799832,-31.801707,"WA"
"6027",8993,43004.953,"6027",115.756405,-31.763347,"WA"
"6028",5476,28044.833,"6028",115.747655,-31.733717,"WA"
"6029",463,2527.24,"6029",115.755689,-31.876897,"WA"
"6030",8971,40365.49,"6030",115.711684,-31.687341,"WA"
"6031",4373,23016.263,"6031",115.772138,-31.692538,"WA"
"6032",52,462.245,"6032",115.74887,-31.643227,"WA"
"6033",126,1747.355,"6033",115.711357,-31.609115,"WA"
"6034",1176,5798.402,"6034",115.663878,-31.585614,"WA"
"6035",2775,13562.101,"6035",115.729901,-31.524716,"WA"
"6036",3415,17598.421,"6036",115.70986,-31.649385,"WA"
"6037",1081,5447.296,"6037",115.616105,-31.48847,"WA"
"6038",2888,13928.523,"6038",115.723047,-32.289149,"WA"
"6041",581,2894.595,"6041",115.568551,-31.379673,"WA"
"6042",37,176.485,"6042",115.508625,-31.254414,"WA"
